item,base_price,reference_currency,float_qty,n_listings,ask_min,ask_median,ask_max,pred_mean,pred_std,pred_cv,pred_min,pred_max,factor_mean,factor_std,factor_cv
Desert Eagle | Calligraffiti (Factory New),15.26,,279,130,16.13,20.685,64.16,19.086,2.5777,0.1351,15.26,24.08,1.2507,0.1689,0.1351
XM1014 | Solitude (Factory New),62.34,,412,240,60.0,100.335,10000.0,67.0761,9.6762,0.1443,58.93,101.24,1.076,0.1552,0.1443
Tec-9 | Cracked Opal (Factory New),11.14,,136,39,10.56,13.34,235.89,13.4269,2.4149,0.1799,10.95,18.23,1.2053,0.2168,0.1799
Tec-9 | Safety Net (Factory New),27.86,,227,124,27.75,31.98,200.0,31.7991,5.8321,0.1834,27.55,46.2,1.1414,0.2093,0.1834
SSG 08 | Ghost Crusader (Factory New),26.61,,253,59,28.28,40.97,150.0,30.2875,4.1599,0.1373,25.63,39.81,1.1382,0.1563,0.1373
SSG 08 | Hand Brake (Factory New),8.12,,304,99,8.35,12.5,401.49,10.7631,2.0975,0.1949,8.4,14.55,1.3255,0.2583,0.1949
FAMAS | Night Borre (Factory New),29.29,,116,50,27.96,33.785,150.0,36.5156,7.1612,0.1961,29.87,51.62,1.2467,0.2445,0.1961
Tec-9 | Brother (Factory New),10.36,,321,119,9.45,13.74,55.64,13.4965,2.6945,0.1996,10.33,19.4,1.3027,0.2601,0.1996
XM1014 | Solitude (Minimal Wear),4.58,,1187,400,4.97,11.365,1337.95,5.7053,1.3779,0.2415,5.25,31.31,1.2457,0.3008,0.2415
UMP-45 | Primal Saber (Field-Tested),12.71,,536,253,12.44,14.95,8000.0,14.2123,1.6947,0.1192,12.28,17.11,1.1182,0.1333,0.1192
MP7 | Powercore (Factory New),46.81,,85,38,43.49,55.56,115.82,56.7095,9.6878,0.1708,45.28,72.0,1.2115,0.207,0.1708
Glock-18 | Warhawk (Factory New),18.51,,110,49,19.0,22.64,200.0,22.3233,3.1932,0.143,18.2,28.18,1.206,0.1725,0.143
AK-47 | Head Shot (Field-Tested),37.22,,1393,400,36.75,46.855,353.01,42.7844,6.3167,0.1476,36.68,56.75,1.1495,0.1697,0.1476
P250 | Hive (Factory New),19.48,,154,80,19.1,45.0,1100.0,20.7599,3.452,0.1663,18.78,29.61,1.0657,0.1772,0.1663
XM1014 | Entombed (Minimal Wear),4.59,,710,269,4.45,6.22,28.03,6.068,1.2323,0.2031,4.44,7.58,1.322,0.2685,0.2031
AUG | Syd Mead (Field-Tested),11.72,,392,110,11.5,12.94,50.0,12.7981,1.1807,0.0923,11.32,14.55,1.092,0.1007,0.0923
Glock-18 | Bunsen Burner (Factory New),9.84,,360,122,9.87,14.55,130.0,11.3507,2.2462,0.1979,9.57,26.49,1.1535,0.2283,0.1979
AK-47 | Nightwish (Battle-Scarred),68.04,,203,99,67.22,76.91,911.0,74.3932,9.1973,0.1236,66.17,113.88,1.0934,0.1352,0.1236
Five-SeveN | Violent Daimyo (Factory New),3.59,,400,120,3.63,5.35,198.75,4.4663,0.9812,0.2197,3.52,6.38,1.2441,0.2733,0.2197
Tec-9 | Ossified (Factory New),56.21,,179,88,54.23,70.975,499.88,59.6078,7.1586,0.1201,53.72,101.97,1.0604,0.1274,0.1201
AK-47 | Uncharted (Factory New),4.86,,647,135,4.8,7.23,362.78,5.4993,0.7023,0.1277,4.78,6.86,1.1315,0.1445,0.1277
UMP-45 | Primal Saber (Minimal Wear),13.11,,344,132,12.5,16.9,180.0,14.9772,1.966,0.1313,12.82,18.62,1.1424,0.15,0.1313
Negev | dev_texture (Factory New),3.79,,314,75,3.59,6.92,72.45,4.7305,1.2537,0.265,3.65,7.03,1.2482,0.3308,0.265
MAC-10 | Lapis Gator (Factory New),5.09,,265,98,5.12,6.215,40.0,5.7903,1.0197,0.1761,5.19,8.45,1.1376,0.2003,0.1761
Five-SeveN | Fraise Crane (Factory New),5.12,,909,322,4.97,9.55,72602.98,5.1233,0.0591,0.0115,5.12,6.18,1.0006,0.0115,0.0115
UMP-45 | Moonrise (Factory New),3.81,,750,183,3.71,6.45,55.0,4.3312,0.8172,0.1887,3.79,6.73,1.1368,0.2145,0.1887
MP9 | Deadly Poison (Factory New),14.51,,109,43,14.48,19.32,190.0,16.3979,2.6271,0.1602,14.16,22.4,1.1301,0.1811,0.1602
AK-47 | Safety Net (Factory New),26.24,,519,145,26.85,37.65,382.59,30.7563,4.0716,0.1324,26.52,39.13,1.1721,0.1552,0.1324
Five-SeveN | Buddy (Factory New),14.58,,203,50,14.15,17.9,100.0,17.992,4.1291,0.2295,14.2,24.53,1.234,0.2832,0.2295
P250 | Asiimov (Battle-Scarred),12.17,,174,74,12.1,14.935,2000.0,13.3001,5.9445,0.4469,11.99,61.98,1.0929,0.4885,0.4469
Nova | Gila (Minimal Wear),3.9,,253,81,3.82,4.75,41.75,4.1963,0.4195,0.1,3.77,4.86,1.076,0.1076,0.1
CZ75-Auto | Tacticat (Factory New),9.87,,299,64,9.5,15.99,700.0,12.0575,2.6084,0.2163,9.79,16.87,1.2216,0.2643,0.2163
