item,base_usd,base_eur,predicted_usd,predicted_eur,quantity,reference_currency,fx_usd_to_eur,fx_source,base_collected_at_utc,status,error
AK-47 | Head Shot (Field-Tested),35.26,30.106045799999997,35.04,29.918203199999997,1492,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:39.882452+00:00,ok,
AK-47 | Nightwish (Battle-Scarred),66.69,56.9419227,66.61,56.873616299999995,248,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:41.275194+00:00,ok,
AWP | Hyper Beast (Battle-Scarred),35.35,30.1828905,34.99,29.8755117,216,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:44.461139+00:00,ok,
Desert Eagle | Calligraffiti (Factory New),16.15,13.789354499999998,16.32,13.9345056,250,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:35.823529+00:00,ok,
Galil AR | Black Sand (Factory New),22.43,19.151406899999998,23.01,19.6466283,136,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:36.766455+00:00,ok,
Glock-18 | Nuclear Garden (Factory New),30.26,25.8368958,30.69,26.2040427,599,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:45.761375+00:00,ok,
Glock-18 | Steel Disruption (Factory New),70.46,60.16086179999999,72.39,61.8087537,105,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:42.854991+00:00,ok,
M4A4 | The Emperor (Field-Tested),56.53,48.2670099,56.85,48.5402355,979,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:43.508909+00:00,ok,
Negev | dev_texture (Factory New),3.84,3.2787072,3.76,3.2104008,276,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:42.223478+00:00,ok,
P2000 | Urban Hazard (Factory New),5.86,5.0034438,6.03,5.1485949,116,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:37.407594+00:00,ok,
P250 | Visions (Minimal Wear),5.56,4.7472948,5.49,4.6875267,669,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:45.081835+00:00,ok,
SSG 08 | Ghost Crusader (Factory New),28.49,24.325616699999998,27.84,23.7706272,204,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:38.048301+00:00,ok,
XM1014 | Entombed (Minimal Wear),4.3,3.6714689999999996,5.07,4.3289181,780,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-27T00:18:40.628090+00:00,ok,
